cell_line	name	#mapped_reads	1st_estFragLen	2nd_estFragLen	3rd_estFragLen	1st_corr_estFragLen	2nd_corr_estFragLen	3rd_corr_estFragLen	phantomPeak	corr_phantomPeak	argmin_corr	min_corr	NSC=corr_estFraglen/min_corr >=1.05	RSC=(corr_estFraglen - min_corr)/(corr_phantomPeak - min_corr) >=0.8	QualityTag based on RSC -2:veryLow,-1:Low,0:Medium,1:High,2:veryHigh
K562	Control.bam	20357286	85	88	118	0.0035920700633551	0.00358952572803897	0.00349781823057007	36	0.008862521	500	0.002460371	1.459971	0.1767686	-2
K562	Ctcf.bam	10072810	183	184	NA	0.0404757188594251	0.0404701159872694	NA	36	0.01763561	500	0.007706742	5.251988	3.300373	2
K562	H2az.bam	22229217	149	157	158	0.0175727018001332	0.0175269470058903	0.0175216110444412	36	0.01534392	500	0.01207064	1.455822	1.680902	2
K562	H3k27ac.bam	13723000	168	NA	NA	0.0520213354582	NA	NA	36	0.04032962	500	0.02972998	1.749794	2.10303	2
K562	H3k27me3.bam	11953332	149	153	154	0.00378550110441188	0.00378353753296559	0.00377922617953128	49	0.006745945	500	0.003152317	1.200863	0.1761964	-2
K562	H3k36me3.bam	12953552	166	167	185	0.00618854294460132	0.00617882859169893	0.00616671680939103	36	0.008422709	500	0.004732029	1.307799	0.3946466	-1
K562	H3k4me1.bam	14183556	142	156	143	0.0132443725504333	0.0132326162778544	0.0132313818076915	36	0.01305453	500	0.009461662	1.399793	1.052837	1
K562	H3k4me2.bam	11522774	159	160	NA	0.0560199810077124	0.0560165210053999	NA	36	0.04866377	500	0.03850485	1.454881	1.724113	2
K562	H3k4me3.bam	8702339	192	193	198	0.0180600659633684	0.0180510789758158	0.0180282926522935	49	0.01842642	500	0.01421298	1.270674	0.9130515	0
K562	H3k79me2.bam	24386278	135	141	142	0.0516472641008682	0.0516201810335065	0.0516150840287293	36	0.05285793	500	0.04625106	1.116672	0.816757	0
K562	H3k9ac.bam	16154448	215	219	NA	0.0445883895477955	0.0445767690422815	NA	49	0.03722196	500	0.03303527	1.349721	2.759484	2
K562	H3k9me3.bam	17101119	129	135	136	0.00542969096724462	0.00542231825250665	0.00541756726553265	36	0.009354747	500	0.00414664	1.309419	0.2463564	-2
K562	H4k20me1.bam	11958673	208	216	229	0.00387109190491337	0.00385404304453859	0.00381858512915556	36	0.006985042	500	0.003184965	1.215427	0.1805561	-2
K562	InputV2.bam	20222863	59	60	66	0.00419093434490216	0.00418669701407771	0.00416566111057226	27	0.008750571	500	0.002346319	1.786174	0.2880297	-1
K562	Nsome.bam	212245033	149	150	NA	0.0167827226417863	0.0167398622740606	NA	36	0.01168848	500	0.005382604	3.117956	1.807857	2
K562	OpenChromDnaseV2.bam	80766194	-2	-1	NA	0.0873255580793907	0.0861419184448592	NA	21	0.07445331	500	0.01157637	7.543434	1.204721	1
K562	Pol2RawData.bam	8734372	89	94	93	0.046553722013696	0.0465300438467436	0.0465271688268349	27	0.04116121	500	0.01702907	2.733779	1.223458	1
GM12878	Control.bam	7408246	103	121	122	0.00333723776633973	0.0033115835548084	0.00330812514122494	49	0.008360259	500	0.00284534	1.172878	0.089194	-2
GM12878	Ctcf.bam	9631407	172	173	177	0.0267634667733425	0.0267407502680666	0.0267313795386545	49	0.01596552	500	0.005743984	4.659391	2.056392	2
GM12878	H3k27ac.bam	9407860	196	197	204	0.0300735286511807	0.0300602074507222	0.0300126095986414	51	0.02830957	500	0.02344378	1.282793	1.362522	1
GM12878	H3k27me3.bam	13746487	156	160	157	0.00293912574107125	0.00293400098905279	0.00293233394351162	49	0.00626631	500	0.002533983	1.159884	0.1085496	-2
GM12878	H3k36me3.bam	14047859	164	178	173	0.00503970188855502	0.00503369704174286	0.00503133567976444	49	0.008619688	500	0.004543944	1.109103	0.1216361	-2
GM12878	H3k4me1.bam	13844966	195	204	205	0.00888373601556832	0.00888004841490686	0.00887868736004687	49	0.01032666	500	0.007867094	1.129227	0.413342	-1
GM12878	H3k4me2.bam	8951950	180	183	184	0.0136754742728841	0.0136605605196398	0.0136577900102095	49	0.01416301	500	0.01149796	1.189383	0.8170646	0
GM12878	H3k4me3.bam	21956752	164	186	185	0.0156113644875597	0.0156025254525985	0.0155994607953872	36	0.0223499	500	0.01292393	1.207943	0.2851098	-1
GM12878	H3k79me2.bam	15424283	121	131	130	0.0261013539865677	0.026090012756938	0.0260890661784159	36	0.02681466	500	0.02317128	1.126453	0.8042186	0
GM12878	H3k9ac.bam	10950457	189	205	199	0.0246082022821006	0.0246079083209774	0.0246051071604926	49	0.02267192	500	0.01925117	1.278271	1.56604	2
GM12878	H3k9me3.bam	15239951	114	120	117	0.00875107387793871	0.00874592561487678	0.00874507380719784	36	0.0168513	500	0.007480715	1.169818	0.1355688	-2
GM12878	H4k20me1.bam	11657462	171	172	178	0.00257047513765294	0.00256063946641048	0.00252845453312723	49	0.005312229	500	0.002013639	1.276532	0.1688103	-2
GM12878	Input.bam	12062205	59	60	NA	0.00378294887506958	0.00377704601901671	NA	27	0.008473511	500	0.0003451879	10.9591	0.4229361	-1
GM12878	Nsome.bam	220560676	149	NA	NA	0.0163178201242215	NA	NA	36	0.01021465	500	0.004885058	3.340353	2.145148	2
GM12878	OpenChromDnase.bam	51548859	2	3	NA	0.0120486787847381	0.0118567863730531	NA	20	0.01589321	500	0.002336341	5.157073	0.7164147	0
GM12878	Pol2RawData.bam	5953248	83	90	97	0.0155260528567093	0.0154258582571231	0.0153384838967381	27	0.01558322	500	0.006557082	2.36783	0.9936669	0
